Name,ID Number,Phone Number,Country/Territory
Elon Musk,30593231,718961429,United States
Jeff Bezos,37826627,796223116,United States
Bernard Arnault & family,30510802,700939457,France
Bill Gates,35009505,704851206,United States
Warren Buffett,36910374,719522691,United States
Larry Page,36372708,757468835,United States
Sergey Brin,27492292,710217657,United States
Larry Ellison,35237359,703750093,United States
Steve Ballmer,36769170,748884550,United States
Mukesh Ambani,34518871,704674353,India
Gautam Adani & family,36636397,719475820,India
Michael Bloomberg,26149825,712006682,United States
Carlos Slim Helu & family,28624349,720946487,Mexico
Francoise Bettencourt Meyers & family,27557580,757376760,France
Mark Zuckerberg,27398606,710157258,United States
Jim Walton,27202602,745112372,United States
Zhong Shanshan,35757553,797262573,China
Alice Walton,36170346,794488494,United States
Rob Walton,36582379,726576964,United States
Changpeng Zhao,31243039,702528451,Canada
Charles Koch,28487599,710628213,United States
Julia Koch & family,28513991,705784828,United States
Amancio Ortega,38009720,723964479,Spain
Michael Dell,36902158,791584264,United States
Zhang Yiming,30121008,707005355,China
David Thomson & family,31498336,725427103,Canada
Phil Knight & family,33222711,711779490,United States
Dieter Schwarz,27623563,740879989,Germany
Robin Zeng,26253828,728218893,Hong Kong
MacKenzie Scott,33151871,791502457,United States
Rodolphe Saadé & family,27309731,723776492,France
François Pinault & family,35132838,720319171,France
Klaus-Michael Kuehne,28015461,759268316,Germany
Ma Huateng,28987552,703155557,China
Beate Heister & Karl Albrecht Jr. & family,37909209,758937401,Germany
Giovanni Ferrero,27552658,710633668,Italy
Li Ka-shing,33303170,704870258,Hong Kong
Stephen Schwarzman,36985766,111267739,United States
Lee Shau Kee,28738878,710243238,Hong Kong
Len Blavatnik,30851520,723735944,United States
Jacqueline Mars,36661760,726609783,United States
John Mars,27410389,758490963,United States
Alain Wertheimer,28622332,726275886,France
Gerard Wertheimer,30341085,726278830,France
German Larrea Mota Velasco & family,25107467,725306380,Mexico
Gina Rinehart,35757669,793018716,Australia
Shiv Nadar,28179204,728003875,India
Jim Simons,35650406,769948331,United States
He Xiangjian,23634597,705032188,China
Miriam Adelson,28458513,711906291,United States
Dietrich Mateschitz,36735085,728463822,Austria
Leonardo Del Vecchio & family,24357138,729250723,Italy
Ken Griffin,24257494,710325545,United States
Tadashi Yanai & family,30565824,702933538,Japan
William Lei Ding,35293065,798158299,China
Susanne Klatten,32501353,792221667,Germany
Cyrus Poonawalla,36224989,728209687,India
Wang Wei,25560176,722533060,China
Qin Yinglin,37159173,740601681,China
Sam Bankman-Fried,29146707,705616487,United States
Takemitsu Takizaki,36151229,790598424,Japan
Li Shufu,27479258,726907987,China
Emmanuel Besnier,28536429,710586246,France
R. Budi Hartono,36823317,720442254,Indonesia
Leonard Lauder,35067765,757552321,United States
Guillaume Pousaz,38464719,724727218,Switzerland
Iris Fontbona & family,29550227,724418967,Chile
Jack Ma,36833115,720131005,China
Michael Hartono,30592569,705201153,Indonesia
Eric Schmidt,30204171,707909641,United States
Ray Dalio,38339410,759083530,United States
Daniel Gilbert,27945016,700050054,United States
"Thomas Frist, Jr. & family",31851365,712867794,United States
Masayoshi Son,30529425,713093282,Japan
Abigail Johnson,37645356,743680684,United States
Rupert Murdoch & family,30027838,728472878,United States
Stefan Quandt,27661010,706629051,Germany
Jensen Huang,30203196,717242727,United States
Huang Shilin,25929593,713548735,China
Thomas Peterffy,26920569,712960872,United States
Radhakishan Damani,37958285,742409356,India
Pang Kang,28879449,704140710,China
Wang Chuanfu,27901292,710680556,China
Reinhold Wuerth & family,32793016,702704025,Germany
"Theo Albrecht, Jr. & family",23374056,721458631,Germany
Yang Huiyan & family,28637056,720731357,China
Vladimir Lisin,35436577,757398161,Russia
Fan Hongwei & family,33285767,740120192,China
Lakshmi Mittal,24230700,723060629,India
Andrew Forrest,29882053,712444291,Australia
Jiang Rensheng & family,23404023,711891279,China
Savitri Jindal & family,25231622,720428899,India
Wang Wenyin,36088356,790606909,China
Li Xiting,36964436,797960511,Singapore
Stefan Persson,25030796,727127494,Sweden
Steve Cohen,31592994,796493557,United States
Vladimir Potanin,39207270,742981188,Russia
Harold Hamm & family,28734994,726049819,United States
Sun Piaoyang,24740821,710298506,China
Luo Liguo & family,35784246,791880982,China
Peter Woo,29735450,720535300,Hong Kong
